,word
0,đc
1,lag
2,dc
3,tgd
4,opo
5,vs
6,fb
7,sp
8,web
9,pro
10,max
11,nv
12,oke
13,👍
14,fps
15,sd
16,ae
17,mk
18,ful
19,mah
20,a70
21,a51
22,lq
23,ap
24,ip
25,ms
26,️
27,lun
28,ng
29,😊
30,bt
31,cx
32,trc
33,kh
34,😂
35,fre
36,a71
37,đmx
38,mik
39,ios
40,chs
41,dk
42,đk
43,😁
44,j7
45,god
46,dmx
47,a50
48,ntn
49,sac
50,fan
51,mic
52,wed
53,🥰
54,joy
55,😍
56,😭
57,vn
58,wa
59,f1
60,wf
61,hk
62,mes
63,👌
64,rùi
65,♥
66,lổi
67,out
68,s20
69,mh
70,h30
71,nge
72,zom
73,fix
74,of
75,ns
76,❤
77,a9
78,not
79,vos
80,😑
81,oki
82,😄
83,y19
84,qá
85,y1
86,bth
87,hok
88,cũg
89,bh
90,up
91,ip7
92,vv
93,😘
94,wep
95,xs
96,a31
97,bn
98,a5
99,🏻
100,rat
101,nc
102,s10
103,lm
104,cug
105,u10
106,a10
107,tg
108,id
109,ip1
110,😆
111,đag
112,a1
113,gem
114,xai
115,ah
116,qtv
117,😅
118,pk
119,rât
120,đep
121,mp3
122,tes
123,a12
124,a91
125,c3
126,ji
127,f9
128,☺
129,dùg
130,mjh
131,x2
132,😔
133,tr5
134,tôt
135,₫
136,ytb
137,het
138,xog
139,℅
140,f7
141,😀
142,ip6
143,onl
144,😪
145,usb
146,mih
147,☆
148,bik
149,mak
150,s1
151,vd
152,voc
153,s8
154,🤣
155,🤪
156,hêt
157,nãn
158,sữ
159,fpt
160,tr4
161,qa
162,chổ
163,a5s
164,xò
165,tik
166,tok
167,tq
168,vk
169,nx
170,net
171,ace
172,🤔
173,a7
174,hdr
175,j5
176,hỉu
177,a92
178,tft
179,p30
180,bat
181,zl
182,ỗn
183,haz
184,k5
185,mìh
186,bas
187,luc
188,hic
189,wá
190,ck
191,zin
192,😒
193,😩
194,tat
195,fim
196,🇻
197,😢
198,🇳
199,cv
200,😣
201,tr9
202,a8
203,😚
204,😎
205,cg
206,a6
207,🤗
208,rôi
209,vc
210,mng
211,v19
212,fai
213,td
214,vl
215,hdh
216,dag
217,fm
218,c2
219,sv
220,jo
221,cod
222,😡
223,mag
224,dx
225,ss
226,cã
227,k3
228,tot
229,tr6
230,😥
231,one
232,🤩
233,bjo
234,mjk
235,y9
236,ẻm
237,ln
238,vọg
239,fun
240,tr2
241,đth
242,yt
243,gpu
244,⭐
245,dep
246,t2
247,thg
248,pay
249,khg
250,tab
251,dis
252,ncl
253,p35
254,you
255,😌
256,mat
257,íu
258,tr7
259,zay
260,pug
261,h15
262,ips
263,bằg
264,😟
265,đg
266,a20
267,hs
268,😙
269,đx
270,mõi
271,zo
272,op
273,câp
274,lcd
275,ság
276,pm
277,sảm
278,lg
279,bj
280,tn
281,😃
282,mpx
283,or
284,set
285,đơi
286,ny
287,tr3
288,pv
289,nóg
290,🤨
291,gê
292,tks
293,lqm
294,s9
295,qc
296,vđ
297,tbh
298,bla
299,tuc
300,kêt
301,pải
302,bk
303,kô
304,👎
305,ark
306,°
307,mog
308,😉
309,xg
310,hã
311,j6
312,sms
313,pim
314,👏
315,k20
316,mxh
317,hot
318,dụg
319,xiu
320,ac
321,😋
322,sat
323,hj
324,√
325,ứg
326,pr
327,nsx
328,sdt
329,•
330,pit
331,os
332,goi
333,p60
334,🤦
335,nfc
336,ôk
337,xr
338,f1s
339,mât
340,t5
341,map
342,v5
343,cmn
344,j2
345,k0
346,k30
347,🤮
348,q6
349,đáh
350,fit
351,hơp
352,dth
353,☹
354,mod
355,🔋
356,bx
357,qr
358,p90
359,otg
360,zậy
361,mot
362,cac
363,cmr
364,hđh
365,h10
366,🙂
367,nm
368,fhd
369,dem
370,kái
371,🙄
372,duo
373,🤤
374,t3
375,g70
376,a52
377,kon
378,c1
379,màk
380,lte
381,dộ
382,săc
383,✋
384,s60
385,s7
386,wet
387,m20
388,wj
389,sóg
390,cở
391,trg
392,sf
393,củg
394,a30
395,p3
396,🤒
397,cuc
398,😏
399,dat
400,📸
401,a1k
402,tut
403,😐
404,☠
405,pjn
406,s61
407,hm
408,dất
409,xac
410,tkj
411,xsm
412,apk
413,💯
414,led
415,😱
416,uổn
417,àk
418,c3i
419,tr1
420,ạk
421,đoc
422,tap
423,’
424,hog
425,cưc
426,gd
427,ol
428,g76
429,we
430,đaq
431,ds
432,a53
433,dòg
434,gh
435,tag
436,kk
437,àh
438,vcl
439,coa
440,tac
441,😫
442,xoq
443,m5
444,rấ
445,gr5
446,ròy
447,tet
448,bc
449,del
450,rep
451,măt
452,năg
453,nất
454,💓
455,ik
456,lus
457,art
458,hp
459,🥵
